com_pubchem_id,com_smiles
5870,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
445154,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
46937002,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](O)CC[C@@]4(C)[C@@H]3CC[C@]12C
46936193,C[C@@H]1O[C@H](OC[C@@H]2O[C@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC=C(O)C(O)=C3)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O
54675858,COC1=CC(=CC=C1O)C([O-])=O
5280961,OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O
2519,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
2153,CN1C2=C(NC=N2)C(=O)N(C)C1=O
5429,CN1C=NC2=C1C(=O)NC(=O)N2C
2353,COC1=CC=C2C=C3C4=CC5=C(OCO5)C=C4CC[N+]3=CC2=C1OC
5994,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
10235,[H][C@@]12CNC[C@@]([H])(C1)C1=CC=CC(=O)N1C2
1060,CC(=O)C(O)=O
5280934,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
6054,OCCC1=CC=CC=C1
119205,[H][C@]1(CC2=CC=C(O)C(OC)=C2)COC(=O)[C@]1([H])CC1=CC=C(O)C(OC)=C1
637517,CCCCCCCC\C=C\CCCCCCCC(O)=O
996,OC1=CC=CC=C1
439246,[H][C@]1(CC(=O)C2=C(O1)C=C(O)C=C2O)C1=CC=C(O)C=C1
3034034,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12
1130,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
3893,CCCCCCCCCCCC(O)=O
12620,CCCCCCCCCCCCCCCCCCCCCCO
444294,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2
14985,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
338,OC(=O)C1=CC=CC=C1O
5280863,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O
446220,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C
702,CCO
3776,CC(C)O
5280343,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1
6305,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O
107971,[H][C@]1(CO)O[C@@]([H])(OC2=CC=C3C(=O)C(=COC3=C2)C2=CC=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
6274,N[C@@H](CC1=CN=CN1)C(O)=O
6267,N[C@@H](CC(N)=O)C(O)=O
5962,NCCCC[C@H](N)C(O)=O
5862,N[C@@H](CS)C(O)=O
33032,N[C@@H](CCC(O)=O)C(O)=O
1174,O=C1NC=CC(=O)N1
453551,OC[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=CC(=O)NC1=O
1110,OC(=O)CCC(O)=O
938,OC(=O)C1=CN=CC=C1
7478,COC1=CC=C(C=C1)C(O)=O
10133,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O
31401,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O
221493,[H][C@@](C)(CCC(O)=O)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@]([H])(O)C[C@]4([H])C[C@]([H])(O)CC[C@]4(C)[C@@]3([H])C[C@]([H])(O)[C@]12C
79034,OCCCCCCCCCCCC(O)=O
60961,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
3000322,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1
5281672,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C(O)=C2)=C1
1045,NCCCCN
199,NCCCCNC(N)=N
1103,NCCCNCCCCNCCCN
785,OC1=CC=C(O)C=C1
3000346,CC1=CN([C@H]2C[C@@H](O)[C@H](CO)O2)C(=O)NC1=O
998,O=CCC1=CC=CC=C1
46936484,OC[C@@H]1O[C@](CO)(O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
955,OC(=O)CCC(=O)C1=C(C=CC=C1)C(O)=O
243,OC(=O)C1=CC=CC=C1
1102,NCCCCNCCCN
971,OC(=O)C(O)=O
25322948,NC1=NC=NC2=C1N=CN2[C@H]1O[C@@H]2CO[P@](O)(=O)O[C@@H]2[C@@H]1O
681,NCCC1=CC(O)=C(O)C=C1
9996708,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H]1O
750,NCC(O)=O
444863,C[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O
26470759,O[C@@H]1O[C@H]([C@H](O)[C@@H](O)[C@H]1O)C(O)=O
289,OC1=CC=CC=C1O
8969,[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2
1054,CC1=C(O)C(CO)=C(CO)C=N1
5281855,OC1=C(O)C2=C3C(=C1)C(=O)OC1=C3C(=CC(O)=C1O)C(=O)O2
72281,COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1
54670067,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
145742,OC(=O)[C@@H]1CCCN1
942,CN1CCCC1C1=CN=CC=C1
3532,OC(=O)C1=CCCNC1
2230,COC(=O)C1=CCCN(C)C1
379,CCCCCCCC(O)=O
6137,CSCC[C@H](N)C(O)=O
16666,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
5283731,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
5280795,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
3182,CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O
311,OC(=O)CC(O)(CC(O)=O)C(O)=O
6089,CN(C)CCC1=CNC2=CC=CC=C12
441074,[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1
612,CC(O)C(O)=O
6057,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
6912,OC[C@H](O)[C@@H](O)[C@H](O)CO
5960,N[C@@H](CC(O)=O)C(O)=O
5951,N[C@@H](CO)C(O)=O
6288,C[C@@H](O)[C@H](N)C(O)=O
6287,CC(C)[C@H](N)C(O)=O
6106,CC(C)C[C@H](N)C(O)=O
239,NCCC(O)=O
5950,C[C@H](N)C(O)=O
154417,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1
6140,N[C@@H](CC1=CC=CC=C1)C(O)=O
46936492,O[C@@H]1[C@H](C=CC=C1OC(=C)C(O)=O)C(O)=O
5978,[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC
241903,[H][C@@]12N(C)C3=C(C=C(C(OC)=C3)[C@]3(C[C@@H]4CN(C[C@](O)(CC)C4)CCC4=C3NC3=CC=CC=C43)C(=O)OC)[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]2(O)C(=O)OC)[C@@]13[H]
6021,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O
190,NC1=C2NC=NC2=NC=N1
790,O=C1NC=Nc2ncnc12
1031,CCCO
445354,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
6037,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
493570,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
448751,[NH3+]CCC1=CC=CC=C1
385,OC(=O)CCCCCC(O)=O
760,OC(=O)C=O
743,OC(=O)CCCC(O)=O
7054,O=C1NC2=CC=CC=C2C1=O
264,CCCC(O)=O
47936,[H][C@]1(O)CCC(C)(C)[C@]2([H])[C@]([H])(O)[C@]([H])(OC(C)=O)[C@@]3(C)O[C@](C)(CC(=O)[C@]3(O)[C@@]12C)C=C
439685,OC(=O)[C@H]1CCC(=O)N1
5282745,CCCCCC\C=C\CCCCCCCC(O)=O
2879,CC1=CC=C(O)C=C1
1032,CCC(O)=O
46936757,C[C@@H](CCC=C(C)C)[C@@H]1CC[C@]2(C)C3=C(CC[C@]12C)[C@]1(C)CC[C@@H](O)C(C)(C)[C@H]1CC3
19,OC(=O)C1=CC=CC(O)=C1O
14969,CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]4C[C@](C)(N)[C@H](O)[C@H](C)O4)C4=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]1C3=CC(=C(O)C=C3)C3=C(O)C=C(O)C=C3[C@H](NC(=O)[C@@H](NC1=O)[C@H](O)C1=CC(Cl)=C(O4)C=C1)C(O)=O)C(Cl)=C2
2969,CCCCCCCCCC(O)=O
6590,CC(C)C(O)=O
10430,CC(C)CC(O)=O
440995,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
439260,NC[C@H](O)C1=CC(O)=C(O)C=C1
8617,OC(=O)CCCC1=CNC2=C1C=CC=C2
1135,CC1=CNC(=O)NC1=O
7991,CCCCC(O)=O
3715,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
5770,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
1176,NC(N)=O
936,NC(=O)C1=CC=CN=C1
12530,CCCCCCCCCCCCC(O)=O
443884,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](C)CO
440473,N[C@@H](CN1C=CC(=O)C(O)=C1)C(O)=O
1549107,CC(C)=CCC\C(C)=C/CC\C(C)=C/CO
174174,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1
1491,OC(=O)C1=CC=C(O)C=C1O
647,CC(C)=CCO[P@](O)(=O)OP(O)(O)=O
5326566,CC1=CC2=NC3=C(N=C2C=C1C)C(=O)NC(=O)N3
7997,CCCOC(C)=O
1005,OC(=O)C(=C)OP(O)(O)=O
757,OCC(O)=O
24417,CSC[C@H](N)C(O)=O
46936732,NC[C@@H]1O[C@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O)[C@@H]2O[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)[C@@H](N)[C@H](O)[C@H]1O
1123,NCCS(O)(=O)=O
6047,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O
441478,O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O
6581,OC(=O)C=C
11047943,[H][C@]12COC(=O)[C@]1([H])[C@@H](C1=CC(OC)=C(OC)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@@H]2O
9294,CN[C@@H](C)[C@H](O)C1=CC=CC=C1
31721,COC1=CC=C(CC(C)N)C=C1
3007,CC(N)CC1=CC=CC=C1
10836,CN[C@@H](C)CC1=CC=CC=C1
342,CC1=CC=CC(O)=C1
3631,CC1=CC2CC3=C(C=CC(=O)N3)C3(C1)NCCCC23
6013,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
6128,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
3662,CC(C)C(=O)C12C(O)=C(CC=C(C)C)C(=O)C(CC=C(C)C)(CC(CC=C(C)C)C1(C)CCC=C(C)C)C2=O
9750,N[C@@H](CCCNC(N)=O)C(O)=O
5288826,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
